EQUI-5	standing	is	1
EQUI-5	on tree branches	on tree branches	3
SPE2-4	A cat	A black and white cat	2
EQUI-5	A large boat	A large boat	3
SPE2-4	in the water	on the sea	3
EQUI-5	A passenger train	A passenger train	3
SIMI-4	waiting	sits	1
EQUI-5	in a station	in the station	3
EQUI-5	on the floor	on the floor	3
EQUI-5	sitting	sitting	1
EQUI-5	An Apple computer	A Macintosh computer	3
EQUI-5	A jockey	A jockey	2
EQUI-5	a horse	a horse	2
EQUI-5	riding	riding	1
SIMI-4	A woman	A young girl	2
EQUI-5	a brown horse	a brown horse	3
EQUI-5	riding	riding	1
EQUI-5	sleeps	asleep	1
EQUI-5	A man	A man	2
SPE2-4	with a baby	holding a baby	3
SIMI-2	in front of yellow flowers	in a field	3
EQUI-5	standing	standing	1
EQUI-5	A black dog	A black dog	3
EQUI-5	in afield	in a field	2
SPE2-3	standing	grazing	1
EQUI-5	sheep	A sheep	1
EQUI-5	standing	stands	1
SPE1-4	A dark brown horse	A brown horse	3
SPE2-3	in a field	in a lush green field	3
SPE2-4	with food	with food and beer	2
EQUI-5	of people	of people	2
EQUI-5	around a table	around a table	3
EQUI-5	A group	A group	2
EQUI-5	sitting	sit	1
EQUI-5	A brown horse	A brown horse	3
SPE1-4	in a lush green field	in a green field	4
EQUI-5	with two cats	with two cats	3
EQUI-5	at her feet	at her feet	3
EQUI-5	in a kitchen	in the kitchen	3
EQUI-5	stands	is standing	1
EQUI-5	An elderly woman	The old lady	3
SPE1-4	Red double decker bus	Double decker passenger bus	4
REL-3	through the streets	with traffic	2
EQUI-5	driving	driving	1
EQUI-5	in a cluttered room	in a cluttered room	4
SIMI-4	sitting	lies	1
EQUI-5	A man	A man	2
EQUI-5	walking	walking	1
SIMI-4	under trees	under the tree	2
SPE1-4	Black cow	Cow	1
EQUI-5	in pasture	in a pasture	2
SIMI-3	A smiling woman	Two women	2
REL-2	with another smiling woman	laughing	1
EQUI-5	sitting	sitting	1
EQUI-5	outside	outside	1
SPE2-3	with a big necklace	with a black top and a necklace	4
SPE2-4	a woman	A young woman	2
EQUI-5	in grass	in a grassy area	2
EQUI-5	standing	standing	1
EQUI-5	Brown and white cow	A brown and white cow	4
EQUI-5	a horse	a horse	2
EQUI-5	riding	rides	1
EQUI-5	A jockey	A jockey	2
EQUI-5	rides	rides	1
EQUI-5	A person	A person	2
EQUI-5	a bike	a bike	2
EQUI-5	a helmet	a bike helmet	2
EQUI-5	wearing	wearing	1
EQUI-5	of horses	of horses	2
EQUI-5	grazing	grazing	1
EQUI-5	Group	A group	1
SPE1-4	in grassy field	in a field	3
EQUI-5	a helmet	a bike helmet	2
SPE1-4	A young blonde girl	A young girl	3
EQUI-5	behind her	in the background	2
SPE1-4	with a red bicycle	with a bicycle	3
EQUI-5	wearing	wearing	1
SIMI-3	A striped cat	Domestic cat	2
EQUI-5	laying down	laying	1
EQUI-5	of cat litter	of cat litter	3
SIMI-3	Five birds	Several cardinals	2
EQUI-5	on the snow	in the snow	3
EQUI-5	stand	stand	1
SPE1-4	posing	is standing	1
EQUI-5	by a pillar	by a pillar	3
EQUI-5	A woman	a woman	2
EQUI-5	with a U2 sign	where `` u2 '' is written	4
SPE2-4	A red moped	The red scooter	3
SIMI-4	parked	is sitting	1
SPE1-4	on a sidewalk	on the street	3
REL-3	in front of graffiti	in front of the building	4
EQUI-5	on couch	on a couch	2
EQUI-5	Two dogs and one cat	Two dogs and a cat	5
SIMI-4	sitting	resting	1
EQUI-5	with their thumbs up	the thumbs up sign	4
SPE1-2	One Asian and one occasion woman	Two women	2
REL-3	smiling	are posing	1
SIMI-4	in front of an alpine lake	next to a mountain , and a body	6
EQUI-5	grazing	grazing	1
SPE1-1	Two mountain goats	Two animals	2
SPE2-4	in a station	at the city train station	3
EQUI-5	waiting	waiting	1
EQUI-5	A passenger train	A passenger train	3
EQUI-5	A bicycle	A bicycle	2
EQUI-5	is parked	is parked	2
SPE2-4	by a shop	outside a bookstore	3
SPE1-4	in a black leather chair	on a leather chair	4
SPE2-4	A orange and white cat	A ginger and white cat	5
SIMI-4	laying	asleep	1
EQUI-5	on train tracks	on the train tracks	3
SPE1-4	Black train	A train	2
SPE1-4	on a black couch	on couch	2
EQUI-5	Young couple	Young couple	2
EQUI-5	sitting	sitting	1
EQUI-5	on a couch	on couch	2
SPE2-4	A couple	Young couple	2
REL-3	posing	sitting	1
EQUI-5	Red double decker bus	Red double decker bus	4
EQUI-5	A group	A group	2
EQUI-5	sitting	sitting	1
SPE1-4	at a restaurant table	around a table	3
EQUI-5	of people	of people	2
SIMI-4	napping	sleeping	1
SPE1-4	under a small table	under a table	3
EQUI-5	a dog	A dog	2
EQUI-5	on water	on the water	2
SPE2-4	A boat	Sail boat	2
EQUI-5	is sailing	sailing	1
SPE1-4	a small baby	a baby	2
EQUI-5	holding	holding	1
SIMI-4	A smiling woman	Two smiling women	3
EQUI-5	Red double decker bus	A red double decker bus	4
SPE2-4	of street	on a city street	2
EQUI-5	the window	of a window	2
EQUI-5	looking out	looking out	2
SPE1-4	Gray cat	A cat	2
SIMI-4	on the tracks	on the train track	3
EQUI-5	sitting	are sitting	1
EQUI-5	Two green and white trains	Two green and white trains	5
EQUI-5	the camera	the camera	2
SPE2-3	A cat	A gray , black , and white cat	2
EQUI-5	looking at	looking at	2
EQUI-5	A gray cat	A gray cat	3
SIMI-4	on a wooden table	on a dining table	4
EQUI-5	lying	laying	1
EQUI-5	in a chair	on chair	2
EQUI-5	with a baby	with infant	2
SPE1-3	A father	Man	1
SIMI-4	napping	sleeping	1
EQUI-5	on tree branch	on a tree branch	3
EQUI-5	perched	perched	1
SPE2-4	Green and white bird	Bird	1
EQUI-5	A red and white plane	Red and white plane	4
EQUI-5	flying	flying	1
EQUI-5	with a viking hat	a viking hat	3
SPE2-4	a woman	Smiling woman	2
SIMI-4	on	wearing	1
EQUI-5	standing	stands	1
SPE1-4	underneath a chair	on the floor	3
SPE1-4	A small white cat	A white cat	3
EQUI-5	at a table	around a table	3
SPE2-4	of people	of elderly people	2
EQUI-5	A group	Group	1
REL-3	eat	sitting	1
EQUI-5	standing	stands	1
SIMI-2	A bull	A brown horse	2
SPE2-2	in the field	in a lush green field	3
REL-4	jumping	playing	1
